用户ID,用户出生日期,性别,婚姻状况,文化程度,下单时间,订单ID,交易金额
5515119,1982/9/23,男,未婚,研究生,2022/7/26 18:16,1062849700,951.6812074
3711114,1985/3/18,男,已婚,研究生,2022/9/20 12:46,1069598200,698.9734523
4712112,1998/3/26,女,未婚,大专,2020/4/22 16:11,1069920695,578.8059937
6714113,1980/11/23,女,未婚,本科,2020/7/26 22:36,1070190410,441.3928562
5215111,1995/4/28,女,已婚,研究生,2022/5/28 15:02,1070923257,428.4673309
5917112,1994/12/6,女,未婚,本科,2023/1/24 12:40,1075134110,979.4756953
6713115,1990/12/1,男,已婚,博士,2023/5/8 8:06,1075594881,396.3850285
3219111,1992/2/21,男,已婚,大专,2020/1/24 22:38,1079478230,683.907019
5417118,1979/11/6,女,未婚,博士,2022/6/21 12:42,1079920722,602.3877539
6513119,1985/3/19,女,已婚,大专,2022/11/22 22:07,1079997178,739.9994147
5813118,1973/1/29,女,已婚,大专,2020/11/26 16:10,1080731879,257.933076
6113115,1968/4/28,男,已婚,博士,2023/5/10 8:45,1084627037,890.5547094
4019120,1986/12/23,男,已婚,大专,2020/8/10 12:46,1085028388,346.4532132
4013112,1979/1/8,女,已婚,中专,2020/12/26 15:38,1085371044,495.0823912
4211117,1997/10/29,男,未婚,大专,2023/4/27 6:38,1085624449,863.5712555
6319117,1974/10/29,男,未婚,本科,2020/1/3 0:28,1088355418,504.9827185
4319119,1974/1/15,男,已婚,本科,2023/3/18 20:11,1089194649,438.6818179
4815116,1985/10/3,男,未婚,中专,2020/8/9 9:52,1090531173,5.474221054
4819119,1995/10/16,女,已婚,本科,2023/4/3 15:15,1090844522,140.7270368
4920117,1970/4/2,女,未婚,大专,2020/8/12 18:33,1091472142,455.5548167
5517120,1993/5/15,男,未婚,大专,2023/2/25 20:49,1092425586,871.9351915
6715118,1968/3/26,男,未婚,博士,2022/3/17 12:35,1092512930,397.0484324
5820111,1970/6/1,女,已婚,大专,2021/5/14 5:34,1095914221,858.3228391
4419113,1992/5/24,男,未婚,大专,2021/11/12 1:33,1097252805,930.4923163
6617119,1990/2/15,男,已婚,大专,2021/9/11 5:14,1098549818,688.7242691
3618112,1985/4/23,女,未婚,本科,2022/7/15 12:36,1099339511,1016.070461
5311116,1984/6/16,女,未婚,研究生,2023/4/9 5:00,1099622697,871.5145247
4315119,1982/5/19,女,已婚,大专,2023/1/26 12:19,1101486883,724.2472542
4616120,1982/8/15,女,未婚,大专,2021/8/23 9:31,1101538200,434.8647155
5012111,1976/6/25,男,未婚,本科,2022/12/20 1:51,1104759125,385.9250473
3311115,1998/2/2,男,已婚,博士,2021/11/28 0:13,1104765185,304.1801302
3619118,1987/8/14,男,已婚,本科,2022/6/5 10:10,1104885930,87.04683723
4315118,1968/5/23,男,未婚,本科,2021/5/13 3:43,1104964284,238.946192
6715119,1994/12/28,男,已婚,本科,2021/11/10 17:37,1106753506,132.6173256
4811119,1986/2/20,男,未婚,中专,2022/4/13 11:33,1107554634,540.0703116
3917116,1993/12/27,女,已婚,博士,2021/12/18 1:00,1108579525,778.0739573
6015116,1973/11/15,男,未婚,本科,2022/2/22 8:31,1111369862,757.2344235
4911117,1984/2/10,男,已婚,大专,2020/10/17 16:35,1113459261,398.4203863
4318111,1986/12/27,男,未婚,本科,2022/12/28 21:45,1116155858,586.9041925
3315118,1999/11/13,男,未婚,中专,2023/4/11 23:50,1117596878,381.5948792
4417118,1982/3/26,男,已婚,博士,2021/8/3 1:47,1117879823,1000.574489
6717114,1994/1/6,男,已婚,本科,2023/2/23 10:58,1120420365,649.1050277
5518111,1981/5/20,女,已婚,本科,2020/4/13 3:29,1120619569,446.3613812
6416114,1997/1/18,女,未婚,本科,2022/7/21 22:09,1122684323,295.5229376
5717115,1989/1/26,男,未婚,本科,2022/7/15 4:09,1127770976,436.92115
6119115,1983/9/23,男,已婚,研究生,2021/11/5 0:14,1130734529,676.7752468
4716113,1981/12/8,男,已婚,本科,2022/4/29 6:23,1131125030,525.0539232
4518115,1995/7/20,男,未婚,研究生,2023/1/28 16:54,1131395851,640.7334766
6014115,1997/9/10,女,未婚,研究生,2020/6/4 0:12,1134089312,503.6573804
5213113,1971/3/9,男,已婚,大专,2020/8/13 0:47,1134152830,206.0077299
5212111,1991/5/4,女,已婚,研究生,2021/10/16 13:47,1135821957,377.8858549
4320120,1981/1/19,女,已婚,本科,2022/8/18 23:20,1136699545,828.2926128
4014117,1993/10/7,女,已婚,本科,2021/11/5 21:18,1140267651,1097.113198
5811113,1995/3/7,女,已婚,中专,2023/5/16 1:20,1143135061,551.0807199
4515119,1999/12/30,女,已婚,中专,2022/2/10 6:24,1143948867,773.6896586
5913117,1974/4/24,男,未婚,博士,2023/5/19 16:40,1143990200,1110.128772
4814118,1990/12/21,男,未婚,研究生,2022/1/24 1:26,1150532319,651.287301
5614113,1982/11/25,女,未婚,本科,2023/4/11 22:19,1153240066,281.2634544
5818111,1994/9/5,女,未婚,本科,2020/11/4 10:12,1153335822,688.7377644
5811120,1973/12/25,男,已婚,大专,2023/5/17 20:59,1153739002,707.6645891
5014118,1997/12/31,女,未婚,大专,2022/8/25 6:36,1154631683,430.95766
3215111,1973/12/26,女,已婚,本科,2023/4/4 20:11,1155948968,641.0901426
5217116,1989/7/7,男,未婚,研究生,2022/5/17 3:56,1156376683,452.5772322
5713115,1990/6/26,男,未婚,本科,2020/12/23 14:59,1156641675,277.2630288
6719120,1991/5/17,男,已婚,大专,2021/4/19 7:50,1157077268,723.133412
5015116,1981/9/20,男,已婚,本科,2020/7/22 1:11,1158190419,407.4460354
4112117,1982/4/30,女,未婚,博士,2021/12/3 2:11,1161816017,709.4017958
5020120,1992/1/10,女,未婚,中专,2023/5/9 9:47,1162325220,269.002184
6411113,1979/3/21,男,已婚,研究生,2020/11/8 6:31,1163390623,614.7231038
6513117,1995/3/23,男,未婚,研究生,2022/11/27 21:05,1165552925,710.7991871
4812120,1970/4/29,女,已婚,本科,2023/5/23 16:06,1166471588,1032.42867
3411115,1969/9/28,女,未婚,本科,2022/12/19 6:56,1168864319,324.6567111
3819116,1985/9/14,女,未婚,研究生,2020/8/11 20:07,1170435913,310.8681898
5413116,1989/10/8,男,未婚,博士,2022/7/7 11:43,1170511976,545.6312799
4912115,1973/3/27,女,已婚,研究生,2020/6/28 10:36,1171886367,381.7669757
6720114,1977/6/11,女,未婚,研究生,2022/6/14 2:26,1172079201,653.195642
4119120,1985/3/24,男,未婚,研究生,2022/12/22 2:29,1172642136,507.3572859
5611113,1994/10/2,女,已婚,博士,2021/5/3 14:42,1175463337,560.0543203
6012120,1986/8/1,女,已婚,博士,2022/12/15 5:04,1179411255,726.187092
5313112,1981/2/7,女,已婚,博士,2022/12/6 2:27,1180231390,865.4509069
4611114,1979/1/7,女,未婚,中专,2020/7/2 13:07,1181133749,700.857839
5918112,1975/8/15,女,未婚,大专,2020/1/24 9:17,1181934954,508.5175527
3211115,1973/12/25,女,未婚,研究生,2019/12/9 14:29,1183590245,205.8476127
5013114,1998/8/31,男,已婚,本科,2023/5/10 3:40,1184889472,232.5920492
6618113,1977/10/21,男,未婚,中专,2022/1/22 8:14,1188129188,536.0165202
3318118,1996/1/25,女,未婚,本科,2023/1/29 11:08,1190218232,813.0141906
4518115,1995/7/20,男,未婚,研究生,2021/7/13 4:51,1193872447,661.010845
4712112,1998/3/26,女,未婚,大专,2023/4/17 21:07,1193891403,739.9801021
4714114,1971/11/30,男,未婚,中专,2021/8/2 19:21,1194945767,308.5500658
6015113,1972/2/28,男,已婚,中专,2021/10/26 7:20,1196913366,651.4988377
3811116,1997/8/10,女,已婚,中专,2023/3/9 18:45,1197448848,824.183784
4915113,1982/5/27,女,未婚,本科,2023/5/26 13:04,1201188814,318.4432316
4711116,1981/5/2,女,已婚,研究生,2020/1/8 7:21,1201346424,658.4129618
3718120,1973/10/11,男,已婚,研究生,2023/1/29 2:40,1202966573,362.9860541
3918120,2000/5/16,女,已婚,中专,2023/4/21 22:31,1204552759,441.0915921
5115119,1974/11/10,女,未婚,本科,2022/6/13 9:25,1209594930,473.3399509
4817115,1989/7/23,女,未婚,研究生,2021/5/11 15:33,1214429353,697.1760083
5720115,1984/4/19,女,已婚,中专,2022/4/28 16:40,1215280757,406.3612532
4019117,1974/9/16,女,未婚,博士,2021/8/18 21:50,1216230952,795.7280713
5615113,1989/7/31,女,未婚,博士,2021/12/2 2:02,1219729468,588.824514
4319119,1974/1/15,男,已婚,本科,2020/10/12 17:22,1220976538,631.9736985
3814119,1982/8/20,男,已婚,研究生,2022/1/6 6:58,1223511243,1120.142
4213112,1970/11/20,男,未婚,大专,2023/1/25 4:19,1224156361,697.557411
4616119,1997/2/7,男,未婚,博士,2019/12/26 6:31,1224740485,507.6678088
6412113,1971/7/16,女,未婚,本科,2022/4/30 5:03,1225220228,976.2589032
5915113,1994/8/3,女,已婚,大专,2020/7/22 17:27,1227041245,153.2194085
4011116,1980/5/29,女,已婚,大专,2021/3/8 9:01,1227317554,101.3968002
5011114,1971/1/7,男,已婚,本科,2020/4/28 17:12,1228289490,630.0686487
5719113,1977/8/7,男,已婚,中专,2023/4/29 16:24,1229621460,107.7691241
5813117,1980/4/26,女,已婚,中专,2021/11/29 21:46,1230979971,842.9419705
4216113,1998/1/29,男,未婚,博士,2022/2/18 21:10,1232342533,782.799218
6214113,1980/12/2,男,已婚,大专,2022/12/11 3:51,1232427712,637.5293826
5713113,1971/12/18,男,已婚,中专,2021/2/9 7:53,1233840832,195.102315
5012112,1987/4/18,男,未婚,研究生,2021/2/4 10:58,1235037437,187.5937944
6717118,1989/7/30,女,未婚,本科,2022/4/29 16:29,1235727541,298.1389767
5219117,1970/8/21,女,未婚,博士,2020/2/6 3:35,1236220810,563.1135084
6220111,1975/5/31,女,已婚,大专,2022/12/2 4:56,1239216085,645.284223
6415119,1993/11/12,男,未婚,博士,2021/2/26 11:24,1239689774,558.3864896
5120111,1999/2/24,女,已婚,博士,2020/1/12 15:18,1240083448,846.9302706
5117112,1975/10/31,男,已婚,中专,2019/12/28 6:16,1243823302,316.9514733
3411113,1982/12/7,女,未婚,本科,2021/11/16 11:08,1245910966,143.0669043
3915115,1986/4/2,男,已婚,博士,2022/11/21 8:37,1247958879,315.7378903
3813115,1983/1/3,女,已婚,博士,2022/10/17 7:59,1248210288,832.0408954
4420115,1984/7/25,男,未婚,中专,2020/8/14 6:21,1252650802,875.3384357
4813113,1969/12/16,男,已婚,博士,2023/4/26 0:16,1253018300,334.8403852
3319118,1992/1/4,女,已婚,研究生,2021/3/21 5:14,1254260168,847.5363594
6720115,1990/6/13,女,未婚,本科,2021/12/9 3:53,1257338831,1014.819139
6012115,1995/9/17,男,已婚,本科,2023/6/4 18:47,1258475393,734.5140586
5719113,1977/8/7,男,已婚,中专,2021/7/12 19:09,1261528488,770.7543947
6718111,1974/4/10,女,已婚,中专,2020/6/10 5:36,1263248834,486.1992482
3215120,1979/7/29,男,已婚,博士,2021/11/26 17:10,1263633164,458.0037115
4615113,1988/9/1,男,已婚,研究生,2021/5/29 17:12,1264023233,493.8387799
4620114,1984/1/3,女,已婚,博士,2021/9/3 13:14,1264872079,259.0163326
6013113,1975/10/29,女,未婚,大专,2022/9/22 4:49,1268227045,26.08377269
4011111,1994/12/30,女,未婚,本科,2020/2/9 21:01,1270017027,798.2537542
4820117,1997/8/16,女,未婚,大专,2021/1/9 8:12,1270578756,786.0570044
3318114,1981/1/12,女,未婚,大专,2021/10/16 12:10,1271381950,148.839222
6716120,1986/3/22,男,已婚,研究生,2023/5/31 23:36,1271691956,293.0531469
6013112,1969/7/1,男,已婚,大专,2021/5/18 13:53,1272391114,100.2194684
4218117,1973/10/27,女,已婚,大专,2023/4/5 6:42,1275250770,761.4933286
6013117,1989/1/7,女,未婚,博士,2021/4/3 14:23,1276677718,476.5838759
3412120,1991/8/24,女,未婚,中专,2021/10/26 17:27,1279194851,398.5016159
4119117,1992/4/14,女,已婚,大专,2020/7/31 12:49,1279633103,237.3228883
5712112,1979/5/17,女,已婚,大专,2022/5/15 17:02,1281414744,912.431465
3520111,1977/8/19,男,未婚,研究生,2021/5/16 12:49,1285577469,324.2249607
4713113,1994/2/10,女,已婚,本科,2022/4/24 8:16,1285649418,506.3480146
5517117,1987/11/12,女,已婚,博士,2021/8/29 11:19,1288311481,627.2902212
4417120,1996/5/6,男,未婚,本科,2020/2/25 17:03,1289548904,411.856926
6213115,1981/9/5,女,未婚,研究生,2021/3/11 21:45,1291043446,216.2249522
3612114,1989/10/6,女,已婚,本科,2023/1/9 0:10,1292128461,1160.65972
4720111,1982/4/7,男,未婚,博士,2020/3/5 4:43,1294696419,810.4646503
5413115,1971/5/15,女,未婚,博士,2022/9/25 17:51,1296783694,498.9987854
6513120,1981/12/3,女,未婚,博士,2020/9/10 23:12,1297283560,786.1069382
5811115,1977/11/24,女,未婚,博士,2022/5/29 9:49,1303438078,645.850394
6517118,1999/11/24,女,未婚,大专,2022/10/14 8:29,1304946652,398.3763107
4417120,1996/5/6,男,未婚,本科,2022/5/18 9:36,1305940190,499.5065636
6515116,1970/12/10,女,未婚,大专,2023/1/3 15:38,1311322365,67.98880238
5816112,2000/9/7,女,未婚,中专,2020/12/11 4:19,1311535066,603.2014912
6220114,1980/2/9,男,已婚,大专,2022/9/7 23:48,1312440562,439.2080545
3217120,1983/2/17,女,未婚,博士,2023/2/24 13:53,1312472299,816.7072509
4719119,1993/6/16,女,已婚,研究生,2021/11/21 15:46,1317460581,929.3969131
5312117,1974/2/28,女,未婚,中专,2023/2/6 2:30,1317989594,329.5301364
4513112,1981/11/28,男,未婚,本科,2022/5/7 17:58,1321113310,649.5974776
4619113,1993/8/3,男,未婚,研究生,2019/12/23 4:50,1323153009,511.7627256
4113111,1978/1/29,男,未婚,研究生,2020/1/21 22:44,1323858369,949.5291395
4412116,1976/9/19,女,未婚,大专,2023/2/25 8:19,1325311963,929.4276512
3814119,1982/8/20,男,已婚,研究生,2021/5/24 1:09,1325718098,939.3304857
3820113,1994/3/16,女,已婚,大专,2022/2/21 12:32,1325992269,1064.025021
5814118,1973/3/20,女,已婚,博士,2023/5/6 7:12,1326523298,167.2625122
6020111,1983/2/2,女,已婚,博士,2020/9/11 1:31,1329012193,750.140108
6219116,1984/10/16,女,未婚,研究生,2019/12/11 3:26,1329956918,443.6944875
5514117,1978/10/11,女,未婚,研究生,2020/12/27 5:45,1330937840,612.919906
5518120,1969/6/8,男,未婚,大专,2020/9/21 15:18,1332055147,831.8103102
3618119,1995/6/3,女,未婚,本科,2021/1/25 15:17,1333521720,1066.719729
4520113,1994/7/7,男,已婚,本科,2023/4/28 20:36,1334216316,667.6703805
4316114,1973/8/31,女,未婚,中专,2022/2/27 16:55,1335051586,696.8642739
5417111,1988/8/18,男,未婚,中专,2022/5/28 2:21,1338878332,97.61839961
4616119,1997/2/7,男,未婚,博士,2022/10/14 13:51,1343685085,648.8780857
4815116,1985/10/3,男,未婚,中专,2020/4/21 3:32,1344057866,347.3961192
3315111,1995/5/20,女,未婚,研究生,2022/2/24 14:20,1346899388,153.0768732
3720114,1987/1/26,男,未婚,博士,2021/8/20 17:48,1347852653,142.4870028
3720117,1976/5/18,男,未婚,大专,2020/7/23 1:42,1347992352,673.0564178
4618111,1977/3/20,女,已婚,本科,2021/7/10 12:12,1348664557,555.6402924
5320116,1971/11/9,女,已婚,中专,2021/2/10 18:50,1349013344,155.1260339
3416113,1980/1/28,男,未婚,大专,2023/2/18 2:13,1349659613,953.410925
4718119,1970/7/21,男,已婚,大专,2020/2/18 6:50,1352633878,682.8688714
6112115,1979/9/1,女,已婚,研究生,2023/3/31 19:05,1353342266,219.213362
3718118,1991/5/4,女,未婚,博士,2022/12/6 13:14,1353578849,595.9572354
5417111,1988/8/18,男,未婚,中专,2022/6/14 4:59,1357117405,157.5783194
4918117,1985/6/25,男,已婚,本科,2020/6/25 9:10,1360785786,964.5528201
4519117,1988/12/30,女,未婚,本科,2021/3/11 9:11,1362022771,339.8877233
5720118,1980/7/11,男,已婚,研究生,2020/4/7 8:57,1362990184,1047.44916
6214116,1968/8/18,男,未婚,本科,2022/6/13 9:04,1369918493,132.8925593
6219111,1977/10/30,女,未婚,博士,2020/1/13 23:49,1370355695,637.8471985
5818116,1993/2/12,女,已婚,博士,2022/5/24 19:44,1372094699,1016.688576
3319119,1995/2/6,女,已婚,研究生,2022/4/18 2:35,1373090545,107.2798235
5614116,1994/12/14,女,未婚,研究生,2023/6/3 2:49,1374421221,557.90823
6315113,1970/12/7,男,未婚,研究生,2021/9/11 9:31,1374476461,904.5364375
6212115,1992/9/22,男,已婚,博士,2019/12/6 15:03,1375377724,150.1125256
5113117,1981/4/27,女,未婚,博士,2020/8/21 2:22,1378740441,438.1827274
5514120,1989/3/1,女,已婚,博士,2022/5/10 5:40,1380355394,651.3176144
3311119,1989/11/1,男,未婚,研究生,2020/1/26 23:51,1380752073,958.4170623
3914117,1997/7/4,男,已婚,本科,2020/5/13 7:03,1381072586,804.3088998
4711112,1984/12/20,女,已婚,博士,2021/3/8 22:37,1381717001,855.3461204
5714114,1991/11/18,女,未婚,本科,2020/5/3 20:41,1387796029,878.7821758
4113114,1994/3/21,女,未婚,本科,2021/6/9 22:42,1387897033,345.6186061
6519112,1984/2/4,男,已婚,中专,2021/9/14 22:55,1388885748,378.9032878
3917115,1983/2/4,男,未婚,中专,2021/10/10 22:58,1390766846,337.9218925
5012112,1987/4/18,男,未婚,研究生,2020/8/8 11:33,1394045422,721.0631307
6217115,1984/7/14,女,已婚,本科,2020/7/11 16:46,1394086244,968.0420465
3411118,1975/2/25,男,未婚,中专,2022/11/21 23:44,1397564685,968.6293946
4118119,1979/2/25,女,已婚,本科,2021/10/25 13:46,1397679201,538.4798184
3917120,1970/1/29,女,未婚,研究生,2022/12/20 3:20,1399360754,519.2183786
5012120,1993/7/1,男,未婚,博士,2022/12/25 15:43,1399659363,44.29022193
6519117,1967/12/24,女,未婚,大专,2023/4/20 11:53,1400542316,528.8089888
4911113,1982/1/15,男,未婚,中专,2023/3/12 12:47,1401618189,640.3619848
6713113,1993/2/13,女,未婚,中专,2023/5/4 15:54,1401871336,209.8932512
6418118,2000/5/27,女,已婚,本科,2020/3/1 2:28,1401925663,624.1830677
3616112,1986/12/29,男,未婚,本科,2022/10/26 10:39,1403663980,48.73417031
5215113,1994/5/17,女,未婚,本科,2021/10/26 10:58,1406787960,621.1649359
6220112,1984/7/3,男,未婚,博士,2020/12/31 1:09,1408465499,879.1424904
3412113,1970/8/2,女,未婚,本科,2022/5/20 21:30,1409291923,205.2545629
3717112,1978/6/9,女,已婚,博士,2022/12/11 22:56,1409886243,429.7549616
4416114,1981/7/26,女,未婚,博士,2020/4/23 0:03,1410118006,1018.988706
5417120,1972/5/11,女,未婚,本科,2022/4/10 11:49,1412945284,532.8087235
6314112,1989/8/17,女,已婚,本科,2020/10/9 9:12,1414244136,21.14569111
5220112,2000/10/17,女,未婚,中专,2023/3/17 8:46,1414490020,224.0208442
3917113,1982/5/9,女,未婚,博士,2023/3/27 0:57,1418411334,526.640567
4514114,1989/10/7,男,未婚,博士,2021/8/27 20:15,1419213537,768.6601212
3414120,1991/6/7,女,未婚,本科,2023/4/8 11:15,1423296416,625.6840748
4514119,1987/3/20,女,已婚,本科,2020/3/29 15:12,1425759294,575.1680008
4611113,1979/8/31,男,未婚,大专,2022/7/29 16:03,1426928151,480.8040246
4920111,1969/10/28,男,未婚,研究生,2021/5/11 7:29,1427845048,875.4675484
5113119,1997/5/17,女,未婚,大专,2021/4/18 6:01,1431181211,185.4368572
3219120,1972/10/1,男,已婚,研究生,2021/8/4 3:35,1431240228,879.5156985
6420114,1998/10/7,男,未婚,博士,2022/12/17 7:54,1432381832,1076.329212
4420115,1984/7/25,男,未婚,中专,2021/3/4 22:53,1436912367,271.4966966
3914119,1984/7/8,男,未婚,博士,2021/6/6 7:27,1436941042,450.9611307
4220119,1977/7/16,女,未婚,大专,2023/4/22 21:35,1438363456,392.0635063
4617118,1983/8/2,男,已婚,本科,2021/4/26 8:33,1438940573,706.669027
6213118,1991/3/18,女,已婚,中专,2023/3/15 13:15,1438962774,461.989803
5318115,1968/2/4,男,未婚,本科,2020/12/27 0:01,1440694939,1023.509555
4319120,1981/10/14,女,已婚,中专,2021/3/23 20:52,1440980684,674.0559848
4816111,2000/7/25,女,已婚,大专,2022/12/18 2:34,1442130207,764.0686668
5020113,1993/5/30,女,未婚,中专,2020/9/25 2:00,1442678949,194.4078171
4215118,1972/7/21,男,已婚,大专,2020/11/20 11:16,1444277729,357.809558
3417120,1982/12/24,男,未婚,研究生,2020/1/28 10:44,1446257313,423.4298534
5320120,1974/11/17,男,未婚,中专,2022/8/24 19:23,1446329401,771.3436542
3919117,1987/4/5,男,未婚,大专,2022/12/4 14:16,1446829127,744.9416574
6416114,1997/1/18,女,未婚,本科,2021/5/31 5:14,1448639220,718.1316329
3919120,1989/3/19,男,未婚,本科,2022/5/20 9:00,1449452178,396.6199679
3419118,1980/8/30,男,未婚,博士,2023/4/14 14:11,1450471962,582.7898504
5218118,1992/12/7,男,未婚,博士,2022/3/7 23:33,1451011342,478.5419362
5112115,1973/11/27,男,已婚,本科,2021/11/26 8:03,1453799405,563.5599668
4614114,1985/9/2,男,未婚,中专,2020/11/17 13:22,1454038721,321.1213439
4017117,1994/10/28,女,未婚,中专,2022/7/1 16:00,1454491209,347.5535565
4816116,1970/1/19,男,未婚,研究生,2020/10/21 11:50,1457130468,396.2318306
3712115,1973/7/16,男,已婚,大专,2021/5/30 7:48,1458113544,418.219036
4519111,1983/1/31,女,已婚,中专,2020/2/2 0:19,1461640255,706.9462703
5616120,1972/12/25,女,已婚,博士,2023/4/26 23:04,1461753162,185.4394234
5916114,1994/11/21,女,已婚,本科,2022/4/24 11:37,1462885622,742.0964261
3518117,1971/6/11,男,未婚,中专,2022/4/11 14:23,1464644494,949.3732353
3715115,1970/10/29,女,未婚,本科,2022/8/4 6:28,1465361079,269.0946268
3414115,1975/2/7,男,已婚,研究生,2020/5/10 7:46,1465660932,688.4253972
3312113,1993/5/23,男,未婚,研究生,2023/5/29 8:18,1466756794,319.2725375
4720120,1988/4/30,女,已婚,中专,2020/3/2 9:05,1467033509,860.8990843
3919120,1989/3/19,男,未婚,本科,2020/12/17 10:19,1469262090,613.045954
6413114,2000/5/28,男,已婚,研究生,2022/4/6 6:33,1469381550,749.7005914
6711111,1973/1/1,女,已婚,研究生,2022/12/19 23:03,1470141533,556.358523
6720114,1977/6/11,女,未婚,研究生,2021/6/30 4:36,1470759920,696.0443518
3917117,1992/12/28,男,未婚,本科,2020/4/16 10:56,1472895633,978.1422211
6711116,1971/6/23,女,已婚,博士,2022/12/30 18:40,1474522542,536.0777616
5120117,1975/8/19,女,已婚,研究生,2023/4/17 16:43,1477261090,326.2111324
6619114,1976/12/17,女,未婚,博士,2022/12/29 12:09,1478576457,975.0409382
6314119,1991/4/12,女,未婚,博士,2020/2/14 4:30,1479884527,100.0328289
3219113,1972/1/28,女,已婚,博士,2021/4/8 8:55,1479931105,115.5629969
3212119,1984/3/22,男,已婚,博士,2021/7/15 19:24,1480445533,990.9387121
5519111,1988/7/1,男,未婚,大专,2022/12/28 14:55,1484461762,1026.602064
5316114,1991/2/1,女,已婚,研究生,2020/3/23 4:53,1486561388,975.9269117
3217113,1970/12/29,男,未婚,研究生,2021/4/10 14:30,1487098427,478.6250422
3715114,1983/11/18,女,未婚,本科,2022/7/4 4:42,1489933517,234.7979521
4314115,1994/8/24,男,已婚,本科,2023/3/13 12:59,1489934871,437.1175548
3920111,1970/10/18,男,已婚,博士,2021/8/15 5:14,1491460461,21.51248611
3315117,1993/3/14,男,未婚,大专,2021/11/18 16:34,1492028298,647.3489799
6711111,1973/1/1,女,已婚,研究生,2023/1/21 7:52,1492932078,476.459856
3912113,1983/1/31,女,已婚,博士,2020/8/3 3:56,1493880159,450.3031594
